IGV;T;GT_P_in;GT_P_el;GT_P_th;GT_eta
70;0;353.4285075;106.268115;285.2362618;0.300677825
70;10;338.0224241;99.23586344;278.7044766;0.293577752
70;20;322.2735279;91.9736087;271.7900401;0.285389896
70;30;306.6327456;84.7863473;264.6772301;0.276507805
80;0;396.6880194;128.211101;311.4008423;0.323203865
80;10;379.3816236;120.2094973;304.2369504;0.316856405
80;20;361.6716329;112.0387684;296.5300738;0.309780359
80;30;343.9519058;103.8761288;288.5206576;0.302007714
90;0;437.9994534;148.942888;336.5952467;0.34005268
90;10;418.7812111;140.1800732;328.5628892;0.334733435
90;20;399.0030291;131.0109056;320.0226732;0.328345642
90;30;379.0992438;121.6729411;311.1930038;0.32095274
100;0;477.9620764;166.6602865;363.3062792;0.348689351
100;10;456.9357744;157.3383243;354.3383188;0.344333565
100;20;435.2068495;147.7020976;344.5805494;0.33938367
100;30;413.3843439;137.9582249;334.4737029;0.333728713
