InputID,TargetID,Distance
NL342,BE,107627.545174955026596
NL342,NL413,108088.684081394123496
NL342,UK,532557.210405581397936
NL342,DE,457098.685019085998647
NL342,NL22,178522.200751428637886
NL342,DK03,637440.239531709230505
NL342,NL32,153912.349906199378893
NL342,NO,1031107.085313280811533
NL342,NL411,50205.090620088922151
NL342,NL12,243215.107478193502175
NL342,NL421,147821.117329299304402
NL342,NL33,83093.200778652055305
NL413,NL342,108088.684081394108944
NL413,BE,114123.073808282686514
NL413,UK,617399.475063369260170
NL413,DE,350951.702026003797073
NL413,NL22,89144.625739591909223
NL413,DK03,574468.834923560381867
NL413,NL32,115263.282410452637123
NL413,NO,995445.227111357962713
NL413,NL411,59079.730654585240700
NL413,NL12,177247.903920342825586
NL413,NL421,53885.367168219316227
NL413,NL33,68354.024510359478882
BE,NL342,107627.545174955404946
BE,NL413,114123.073808282555547
BE,UK,633548.334958841907792
BE,DE,403965.645096316817217
BE,NL22,202861.671267425233964
BE,DK03,688583.525559046189301
BE,NL32,218723.218616216676310
BE,NO,1105710.342605155194178
BE,NL411,104695.965658467728645
BE,NL12,290798.164471147407312
BE,NL421,108929.291689076737384
BE,NL33,150147.779690445080632
DE,NL342,457098.685019085998647
DE,BE,403965.645096316817217
DE,NL413,350951.702026003855281
DE,UK,950921.314572865259834
DE,NL22,320463.856436738045886
DE,DK03,567429.758238335256465
DE,NL32,397347.780539002094883
DE,NO,1031982.395543926162645
DE,NL411,409867.575913421285804
DE,NL12,357711.759908876847476
DE,NL421,310920.443698266346473
DE,NL33,407114.647441075474489
UK,NL342,532557.210405581281520
UK,BE,633548.334958842024207
UK,NL413,617399.475063369260170
UK,DE,950921.314572865027003
UK,NL22,630459.101947434828617
UK,DK03,815133.789710009819828
UK,NL32,553889.766708127805032
UK,NO,987603.206316763884388
UK,NL411,565523.756856912281364
UK,NL12,611049.648831562721170
UK,NL421,669277.527156219119206
UK,NL33,551716.310869350912981
DK03,NL342,637440.239531709696166
DK03,BE,688583.525559046189301
DK03,NL413,574468.834923560847528
DK03,UK,815133.789710009703413
DK03,DE,567429.758238335140049
DK03,NL22,486364.819515449344181
DK03,NL32,483640.914825023850426
DK03,NO,464758.341675317962654
DK03,NL411,600521.477550901239738
DK03,NL12,398915.198665623611305
DK03,NL421,595089.043403694289736
DK03,NL33,556130.636819865438156
NL22,NL342,178522.200751428754302
NL22,BE,202861.671267425466795
NL22,NL413,89144.625739591952879
NL22,UK,630459.101947434828617
NL22,DE,320463.856436737987678
NL22,DK03,486364.819515449751634
NL22,NL32,77785.120516753988340
NL22,NO,914083.330011814949103
NL22,NL411,130226.483021272724727
NL22,NL12,93759.706322694197297
NL22,NL421,113336.702398793306202
NL22,NL33,101655.529766692736303
NO,NL342,1031107.085313280927949
NO,BE,1105710.342605154961348
NO,NL413,995445.227111358195543
NO,UK,987603.206316763651557
NO,DE,1031982.395543926162645
NO,NL22,914083.330011815065518
NO,DK03,464758.341675318486523
NO,NL32,887484.527784461155534
NO,NL411,1005923.060251103946939
NO,NL12,820502.264709180220962
NO,NL421,1027324.895696533145383
NO,NL33,959025.041676034801640
NL32,NL342,153912.349906199349789
NL32,BE,218723.218616216210648
NL32,NL413,115263.282410452447948
NL32,UK,553889.766708127805032
NL32,DE,397347.780539002269506
NL32,NL22,77785.120516754162963
NL32,DK03,483640.914825024025049
NL32,NO,887484.527784461155534
NL32,NL411,119303.911559558953741
NL32,NL12,92353.041121302027022
NL32,NL421,162124.764478205790510
NL32,NL33,73098.190833062661113
NL12,NL342,243215.107478193676798
NL12,BE,290798.164471147349104
NL12,NL413,177247.903920342621859
NL12,UK,611049.648831562604755
NL12,DE,357711.759908876556437
NL12,NL22,93759.706322694240953
NL12,DK03,398915.198665623436682
NL12,NL32,92353.041121302143438
NL12,NO,820502.264709180686623
NL12,NL411,202520.431980980851222
NL12,NL421,207090.568423901771894
NL12,NL33,160215.717690773657523
NL411,NL342,50205.090620088980359
NL411,BE,104695.965658467539470
NL411,NL413,59079.730654585233424
NL411,UK,565523.756856912397780
NL411,DE,409867.575913421285804
NL411,NL22,130226.483021272913902
NL411,DK03,600521.477550901356153
NL411,NL32,119303.911559559113812
NL411,NO,1005923.060251103946939
NL411,NL12,202520.431980981171364
NL411,NL421,104903.366134181269445
NL411,NL33,46910.149427572207060
NL33,NL342,83093.200778652026202
NL33,BE,150147.779690445458982
NL33,NL413,68354.024510359537089
NL33,UK,551716.310869351029396
NL33,DE,407114.647441075474489
NL33,NL22,101655.529766692692647
NL33,DK03,556130.636819865787402
NL33,NL32,73098.190833062981255
NL33,NO,959025.041676034801640
NL33,NL411,46910.149427572068817
NL33,NL12,160215.717690773570212
NL33,NL421,122233.015252298660926
NL421,NL342,147821.117329299217090
NL421,BE,108929.291689076693729
NL421,NL413,53885.367168219541782
NL421,UK,669277.527156219002791
NL421,DE,310920.443698266346473
NL421,NL22,113336.702398793029715
NL421,DK03,595089.043403694638982
NL421,NL32,162124.764478205848718
NL421,NO,1027324.895696533028968
NL421,NL411,104903.366134181240341
NL421,NL12,207090.568423901509959
NL421,NL33,122233.015252298791893
