Specific_rotational_speed;Eta_design
1.2828184287271205; 0.8809583646735917
1.367497328965626; 0.8910501648735616
1.441004992159029; 0.8962002945866112
1.5051018295934406; 0.9018517468872616
1.586009387818807; 0.9068089644381844
1.6663589365847427; 0.9113875909931017
1.7507900931433766; 0.9153630625015066
1.8395204423165992; 0.9182287907397192
1.9327348572619152; 0.9217315056349665
2.0307227617382697; 0.9228660077936546
2.133641291588761; 0.9256801857382563
2.241826130628882; 0.926336006599129
2.355496713983943; 0.9269793690109551
2.4749945612585473; 0.9251495908598064
2.600573446432625; 0.9226271229416633
2.732499152611265; 0.9209820066908285
2.8711592432912476; 0.917934899640609
3.016889227784171; 0.9138163659723765
3.1700919995361687; 0.9073913027330867
3.331056796657796; 0.9014821300260979
3.4858745860275193; 0.8933946383562086
3.607996379324218; 0.8855901823910186
3.67221917643119; 0.8809454646079772
