Q;Eta
0;0
0.089385891;0.034457528
0.179261013;0.068166966
0.253504641;0.095203149
0.347723169;0.12874647
0.430247909;0.157322797
0.516185326;0.186218161
0.606991177;0.216388635
0.688967025;0.242602224
0.783734445;0.272773869
0.879026893;0.302075195
0.960477714;0.326741936
1.043169507;0.3514112
1.149845501;0.382402137
1.241868461;0.408701372
1.351837808;0.439527574
1.457845585;0.468652204
1.566454634;0.498317543
1.673822709;0.526923774
1.793695979;0.558658755
1.92003663;0.591771229
2.046186362;0.624486184
2.179209178;0.6589096
2.33234213;0.698927016
2.459979439;0.732001065
2.601665205;0.769927023
2.753708327;0.811076386
2.904653665;0.853139252
2.999922248;0.880748034
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
