Specific_rotational_speed,Eta_design
2.263650606122868, 0.9140972364906512
2.3013033376116385, 0.9130200375441283
2.394536855685921, 0.9103208895583561
2.4361260358879524, 0.9087029716653459
2.4924536153753327, 0.9070387872976736
2.537386088017055, 0.9056926594348444
2.623362247471041, 0.9033366743693947
2.716577064637985, 0.9003102605051957
2.8097687891862946, 0.8968797258149014
2.902959068361267, 0.8934238970911972
2.9961403602789467, 0.8898107913648801
3.051340076301735, 0.8877105836684375
3.123202744964097, 0.8848310947835809
3.2163634162221593, 0.880857127513949
3.309525821928226, 0.8769135130844089
3.402679555394267, 0.8728181344544093
3.4958379140549884, 0.8688036967313215
3.5672029714906306, 0.8648350589979159
3.6397436428033303, 0.8614396641130255
3.732849564653551, 0.8565075822061645
3.82593690211576, 0.8512502735091085
3.8864392238300707, 0.8476599511285918
3.9302798487383446, 0.8448708870233936
4.0120668772019705, 0.8399534089463717
4.070351324832378, 0.8364391789864359
4.155882680602735, 0.8310156827454444
4.251041146888179, 0.824860271312141
4.337681739019834, 0.81821349075895
4.427155307366425, 0.8116199844433356
4.481368326044205, 0.8070144779711761
4.501274252252781, 0.804891996145078
